chr start end mid COcount NCOcount SNPcount cross Introgression
4 220001 240000 230000.5 9 0 9 natural 0
4 240001 260000 250000.5 14 0 0 natural 0
4 260001 280000 270000.5 13 1 100 natural 0
4 280001 3e+05 290000.5 5 3 69 natural 0
4 300001 320000 310000.5 8 0 12 natural 0
4 320001 340000 330000.5 0 1 194 natural 0
4 340001 360000 350000.5 16 0 121 natural 0
4 360001 380000 370000.5 8.75 0 1 natural 0
4 380001 4e+05 390000.5 3.5 0 0 natural 0
4 400001 420000 410000.5 11.75 2 13 natural 0
4 420001 440000 430000.5 4 0 13 natural 0
4 440001 460000 450000.5 1 0 21 natural 0
4 460001 480000 470000.5 2 3 42 natural 0
4 480001 5e+05 490000.5 4 1 47 natural 0
4 500001 520000 510000.5 7 6 67 natural 0
4 520001 540000 530000.5 1.3333 0 46 natural 0
4 540001 560000 550000.5 0.6667 0 0 natural 0
4 560001 580000 570000.5 0.6667 0 0 natural 0
4 580001 6e+05 590000.5 24.3333 0 1 natural 0
4 600001 620000 610000.5 4 0 1 natural 0
4 620001 640000 630000.5 8 0 0 natural 0
4 640001 660000 650000.5 10.5 0 1 natural 0
4 660001 680000 670000.5 11 0 0 natural 0
4 680001 7e+05 690000.5 6.5 0 1 natural 0
4 700001 720000 710000.5 3.5 0 3 natural 0
4 720001 740000 730000.5 5 0 0 natural 0
4 740001 760000 750000.5 5.5 1 14 natural 0
4 760001 780000 770000.5 1 0 41 natural 0
4 780001 8e+05 790000.5 4 0 42 natural 0
4 800001 820000 810000.5 4 0 37 natural 0
4 820001 840000 830000.5 11 0 21 natural 0
4 840001 860000 850000.5 14 2 41 natural 0
4 860001 880000 870000.5 9 0 1 natural 1
4 880001 9e+05 890000.5 6 2 42 natural 1
4 900001 920000 910000.5 9 2 68 natural 1
4 920001 940000 930000.5 2 1 28 natural 1
4 940001 960000 950000.5 15 5 46 natural 1
4 960001 980000 970000.5 9 1 35 natural 1
4 980001 1e+06 990000.5 0 0 3 natural 1
5 1 20000 10000.5 8 4 74 natural 0
5 20001 40000 30000.5 0 2 270 natural 0
5 40001 60000 50000.5 23 1 42 natural 0
5 60001 80000 70000.5 4 1 181 natural 0
5 80001 1e+05 90000.5 4 1 245 natural 0
5 100001 120000 110000.5 10 0 2 natural 0
5 120001 140000 130000.5 3.25 0 1 natural 0
5 140001 160000 150000.5 0.5 0 0 natural 0
5 160001 180000 170000.5 8.25 0 46 natural 0
5 180001 2e+05 190000.5 8 2 59 natural 0
5 200001 220000 210000.5 9.75 1 1 natural 0
5 220001 240000 230000.5 7.5 0 0 natural 0
5 240001 260000 250000.5 12.75 0 1 natural 0
5 260001 280000 270000.5 3 1 20 natural 0
5 280001 3e+05 290000.5 8 0 59 natural 0
5 300001 320000 310000.5 14 0 29 natural 0
5 320001 340000 330000.5 0 0 39 natural 0
5 340001 360000 350000.5 4 1 49 natural 0
5 360001 380000 370000.5 5 4 42 natural 0
5 380001 4e+05 390000.5 5.875 0 26 natural 0
5 400001 420000 410000.5 9.75 0 0 natural 0
5 420001 440000 430000.5 9.75 0 0 natural 0
5 440001 460000 450000.5 9.75 0 0 natural 0
5 460001 480000 470000.5 5.875 0 12 natural 0
5 480001 5e+05 490000.5 5 1 24 natural 0
5 500001 520000 510000.5 5 1 42 natural 0
5 520001 540000 530000.5 2 0 108 natural 0
6 1 20000 10000.5 4 0 82 natural 1
6 20001 40000 30000.5 8 0 64 natural 1
6 40001 60000 50000.5 24 0 3 natural 1
6 60001 80000 70000.5 11 3 59 natural 1
6 80001 1e+05 90000.5 2 1 105 natural 0
6 100001 120000 110000.5 3 2 44 natural 0
6 120001 140000 130000.5 6 0 59 natural 0
6 140001 160000 150000.5 6 3 52 natural 0
6 160001 180000 170000.5 5 3 46 natural 0
6 180001 2e+05 190000.5 9 5 74 natural 0
6 200001 220000 210000.5 8 7 70 natural 0
6 220001 240000 230000.5 9 4 86 natural 0
6 240001 260000 250000.5 8 4 79 natural 0
6 260001 280000 270000.5 6 1 47 natural 0
6 280001 3e+05 290000.5 5 1 36 natural 0
6 300001 320000 310000.5 7.1667 0 6 natural 0
6 320001 340000 330000.5 8.3333 0 0 natural 0
6 340001 360000 350000.5 8.3333 0 0 natural 0
6 360001 380000 370000.5 4.1667 1 10 natural 0
6 380001 4e+05 390000.5 9 3 69 natural 0
6 400001 420000 410000.5 11 0 21 natural 0
6 420001 440000 430000.5 3 0 9 natural 0
6 440001 460000 450000.5 12 3 40 natural 0
6 460001 480000 470000.5 3 1 72 natural 0
6 480001 5e+05 490000.5 8 1 44 natural 0
6 500001 520000 510000.5 5 4 40 natural 0
6 520001 540000 530000.5 0 0 11 natural 0
7 1 20000 10000.5 4.375 0 9 natural 1
7 20001 40000 30000.5 8.75 0 0 natural 1
7 40001 60000 50000.5 8.75 0 0 natural 1
7 60001 80000 70000.5 8.75 0 0 natural 0
7 80001 1e+05 90000.5 7.375 0 8 natural 0
7 100001 120000 110000.5 7 2 58 natural 0
7 120001 140000 130000.5 5 1 40 natural 0
7 140001 160000 150000.5 5 1 58 natural 0
7 160001 180000 170000.5 6.25 1 11 natural 0
7 180001 2e+05 190000.5 4.5 0 0 natural 0
7 200001 220000 210000.5 5.25 0 2 natural 0
7 220001 240000 230000.5 6 0 0 natural 0
7 240001 260000 250000.5 3 0 1 natural 0
7 260001 280000 270000.5 17 0 30 natural 0
7 280001 3e+05 290000.5 2 0 53 natural 0
7 300001 320000 310000.5 3 1 48 natural 0
7 320001 340000 330000.5 2 0 43 natural 0
7 340001 360000 350000.5 5 0 63 natural 0
7 360001 380000 370000.5 10 2 85 natural 0
7 380001 4e+05 390000.5 7 1 38 natural 0
7 400001 420000 410000.5 11 1 42 natural 0
7 420001 440000 430000.5 5 4 38 natural 0
7 440001 460000 450000.5 11 0 7 natural 0
7 460001 480000 470000.5 14 0 10 natural 0
7 480001 5e+05 490000.5 1 0 10 natural 0
7 500001 520000 510000.5 9 0 32 natural 0
7 520001 540000 530000.5 5 1 52 natural 0
7 540001 560000 550000.5 6 1 72 natural 0
7 560001 580000 570000.5 12 2 50 natural 0
7 580001 6e+05 590000.5 5 4 221 natural 0
7 600001 620000 610000.5 7 1 280 natural 0
7 620001 640000 630000.5 1 2 298 natural 0
7 640001 660000 650000.5 5 4 135 natural 0
7 660001 680000 670000.5 3 0 2 natural 0
7 680001 7e+05 690000.5 7 0 0 natural 0
7 700001 720000 710000.5 1 0 34 natural 0
7 720001 740000 730000.5 8.5 1 57 natural 0
7 740001 760000 750000.5 5 0 0 natural 0
7 760001 780000 770000.5 5 0 0 natural 0
7 780001 8e+05 790000.5 5 0 0 natural 0
7 800001 820000 810000.5 22.5 1 15 natural 0
7 820001 840000 830000.5 1 0 52 natural 0
7 840001 860000 850000.5 8 0 9 natural 0
7 860001 880000 870000.5 5 6 40 natural 0
7 880001 9e+05 890000.5 0 0 0 natural 0
7 900001 920000 910000.5 0 0 0 natural 0
7 920001 940000 930000.5 0 0 0 natural 0
7 940001 960000 950000.5 0 0 0 natural 0
7 960001 980000 970000.5 0 0 0 natural 0
7 980001 1e+06 990000.5 0 0 0 natural 0
7 1000001 1020000 1010000.5 0 0 0 natural 0
7 1020001 1040000 1030000.5 0 0 0 natural 0
8 1 20000 10000.5 0 1 110 natural 0
8 20001 40000 30000.5 3 1 48 natural 0
8 40001 60000 50000.5 2 0 13 natural 0
8 60001 80000 70000.5 17 0 0 natural 0
8 80001 1e+05 90000.5 6.1667 0 7 natural 0
8 100001 120000 110000.5 6.3333 0 0 natural 0
8 120001 140000 130000.5 6.3333 0 0 natural 0
8 140001 160000 150000.5 14.1667 0 4 natural 0
8 160001 180000 170000.5 0 0 1 natural 0
8 180001 2e+05 190000.5 7.5 0 2 natural 0
8 200001 220000 210000.5 7 0 0 natural 0
8 220001 240000 230000.5 7 0 0 natural 0
8 240001 260000 250000.5 7 0 0 natural 0
8 260001 280000 270000.5 7.125 0 1 natural 0
8 280001 3e+05 290000.5 5.25 0 0 natural 0
8 300001 320000 310000.5 5.25 0 0 natural 0
8 320001 340000 330000.5 5.25 0 0 natural 0
8 340001 360000 350000.5 3.625 0 2 natural 0
8 360001 380000 370000.5 19 0 2 natural 0
8 380001 4e+05 390000.5 1.8333 0 1 natural 0
8 400001 420000 410000.5 3.6667 0 0 natural 0
8 420001 440000 430000.5 3.6667 0 0 natural 0
8 440001 460000 450000.5 4.8333 0 1 natural 0
8 460001 480000 470000.5 2 0 1 natural 0
8 480001 5e+05 490000.5 9 0 1 natural 0
8 500001 520000 510000.5 5.1667 0 6 natural 0
8 520001 540000 530000.5 10.3333 0 0 natural 0
8 540001 560000 550000.5 10.3333 0 0 natural 0
8 560001 580000 570000.5 10.1667 0 26 natural 0
8 580001 6e+05 590000.5 3 2 33 natural 0
8 600001 620000 610000.5 3 7 27 natural 0
8 620001 640000 630000.5 5 0 27 natural 0
8 640001 660000 650000.5 6 0 6 natural 0
8 660001 680000 670000.5 4 0 0 natural 0
8 680001 7e+05 690000.5 4 0 0 natural 0
8 700001 720000 710000.5 9.25 0 1 natural 0
8 720001 740000 730000.5 14.5 0 0 natural 0
8 740001 760000 750000.5 7.25 0 7 natural 0
8 760001 780000 770000.5 6 0 42 natural 0
8 780001 8e+05 790000.5 6 2 167 natural 0
8 800001 820000 810000.5 0 0 58 natural 0
9 1 20000 10000.5 3 0 96 natural 0
9 20001 40000 30000.5 2 3 58 natural 0
9 40001 60000 50000.5 6.6667 0 11 natural 0
9 60001 80000 70000.5 7.3333 0 0 natural 0
9 80001 1e+05 90000.5 7.3333 0 0 natural 0
9 100001 120000 110000.5 9.6667 0 1 natural 0
9 120001 140000 130000.5 5 0 18 natural 0
9 140001 160000 150000.5 7 6 62 natural 1
9 160001 180000 170000.5 15 4 38 natural 1
9 180001 2e+05 190000.5 11.3333 0 2 natural 1
9 200001 220000 210000.5 6.6667 0 0 natural 1
9 220001 240000 230000.5 6.6667 0 0 natural 1
9 240001 260000 250000.5 8.3333 4 65 natural 1
9 260001 280000 270000.5 7 2 103 natural 1
9 280001 3e+05 290000.5 9 3 103 natural 1
9 300001 320000 310000.5 5 2 283 natural 0
9 320001 340000 330000.5 2 0 115 natural 0
9 340001 360000 350000.5 2 0 58 natural 0
9 360001 380000 370000.5 15 5 90 natural 0
9 380001 4e+05 390000.5 0 0 0 natural 0
9 400001 420000 410000.5 0 0 0 natural 0
10 1 20000 10000.5 44 2 94 natural 0
10 20001 40000 30000.5 4 1 48 natural 0
10 40001 60000 50000.5 10 2 68 natural 0
10 60001 80000 70000.5 3 0 54 natural 0
10 80001 1e+05 90000.5 13 2 42 natural 0
10 100001 120000 110000.5 13.6667 3 44 natural 0
10 120001 140000 130000.5 5.3333 0 0 natural 0
10 140001 160000 150000.5 5.3333 0 0 natural 0
10 160001 180000 170000.5 8.6667 1 62 natural 0
10 180001 2e+05 190000.5 5 3 87 natural 0
10 200001 220000 210000.5 9 3 41 natural 0
10 220001 240000 230000.5 8 1 56 natural 1
10 240001 260000 250000.5 5 2 100 natural 1
10 260001 280000 270000.5 7 3 49 natural 1
10 280001 3e+05 290000.5 2 1 45 natural 1
10 300001 320000 310000.5 2 2 70 natural 1
10 320001 340000 330000.5 15 0 16 natural 1
10 340001 360000 350000.5 6 1 51 natural 1
10 360001 380000 370000.5 10 2 50 natural 1
10 380001 4e+05 390000.5 14 2 58 natural 1
10 400001 420000 410000.5 5 0 55 natural 1
10 420001 440000 430000.5 6 1 28 natural 1
10 440001 460000 450000.5 6 0 0 natural 0
10 460001 480000 470000.5 6 0 0 natural 0
10 480001 5e+05 490000.5 10 2 31 natural 0
10 500001 520000 510000.5 4 1 33 natural 0
10 520001 540000 530000.5 6 2 64 natural 0
10 540001 560000 550000.5 4 2 32 natural 0
10 560001 580000 570000.5 6.8333 0 59 natural 0
10 580001 6e+05 590000.5 5.6667 0 0 natural 0
10 600001 620000 610000.5 5.6667 0 0 natural 0
10 620001 640000 630000.5 5.2333 0 1 natural 0
10 640001 660000 650000.5 4.8 0 0 natural 0
10 660001 680000 670000.5 4.8 0 0 natural 0
10 680001 7e+05 690000.5 4.8 0 0 natural 0
10 700001 720000 710000.5 4.8 0 0 natural 0
10 720001 740000 730000.5 4.4 0 48 natural 0
10 740001 760000 750000.5 12 0 11 natural 0
10 760001 780000 770000.5 6 0 89 natural 0
10 780001 8e+05 790000.5 10 3 43 natural 0
10 800001 820000 810000.5 5 0 37 natural 0
10 820001 840000 830000.5 4 0 41 natural 0
10 840001 860000 850000.5 17 0 6 natural 0
10 860001 880000 870000.5 3.2 0 1 natural 0
10 880001 9e+05 890000.5 6.4 0 0 natural 0
10 900001 920000 910000.5 6.4 0 0 natural 0
10 920001 940000 930000.5 6.4 0 0 natural 0
10 940001 960000 950000.5 6.4 0 0 natural 0
10 960001 980000 970000.5 23.2 9 62 natural 0
10 980001 1e+06 990000.5 2 2 227 natural 0
10 1000001 1020000 1010000.5 0 0 191 natural 0
11 1 20000 10000.5 4 0 183 natural 0
11 20001 40000 30000.5 8 4 40 natural 0
11 40001 60000 50000.5 8 1 43 natural 0
11 60001 80000 70000.5 10.625 2 31 natural 0
11 80001 1e+05 90000.5 5.25 0 0 natural 0
11 100001 120000 110000.5 5.25 0 0 natural 0
11 120001 140000 130000.5 5.25 0 0 natural 0
11 140001 160000 150000.5 8.125 0 2 natural 0
11 160001 180000 170000.5 3 0 0 natural 0
11 180001 2e+05 190000.5 6.75 0 1 natural 0
11 200001 220000 210000.5 10.5 0 0 natural 0
11 220001 240000 230000.5 8.25 1 17 natural 0
11 240001 260000 250000.5 4 0 206 natural 0
11 260001 280000 270000.5 5 4 83 natural 0
11 280001 3e+05 290000.5 3 1 46 natural 0
11 300001 320000 310000.5 10 0 42 natural 0
11 320001 340000 330000.5 3.75 0 26 natural 0
11 340001 360000 350000.5 7.5 0 0 natural 0
11 360001 380000 370000.5 9.75 2 39 natural 0
11 380001 4e+05 390000.5 2 0 35 natural 0
11 400001 420000 410000.5 2 0 40 natural 0
11 420001 440000 430000.5 4 0 19 natural 0
11 440001 460000 450000.5 10.5 0 15 natural 0
11 460001 480000 470000.5 3 0 0 natural 0
11 480001 5e+05 490000.5 14.5 0 1 natural 0
11 500001 520000 510000.5 26 7 22 natural 0
11 520001 540000 530000.5 0 0 36 natural 0
11 540001 560000 550000.5 11 1 27 natural 0
11 560001 580000 570000.5 5 1 75 natural 0
11 580001 6e+05 590000.5 6 3 78 natural 0
11 600001 620000 610000.5 7 0 54 natural 0
11 620001 640000 630000.5 0 0 20 natural 0
12 1 20000 10000.5 3 0 9 natural 0
12 20001 40000 30000.5 0 0 0 natural 0
12 40001 60000 50000.5 3.5714 0 1 natural 0
12 60001 80000 70000.5 7.1429 0 0 natural 0
12 80001 1e+05 90000.5 7.1429 0 0 natural 0
12 100001 120000 110000.5 7.1429 0 0 natural 0
12 120001 140000 130000.5 7.1429 0 0 natural 0
12 140001 160000 150000.5 7.1429 0 0 natural 0
12 160001 180000 170000.5 7.1429 0 0 natural 0
12 180001 2e+05 190000.5 6.8214 0 1 natural 0
12 200001 220000 210000.5 6.5 0 0 natural 0
12 220001 240000 230000.5 3.25 0 2 natural 0
12 240001 260000 250000.5 12 2 19 natural 0
12 260001 280000 270000.5 9.5 0 1 natural 0
12 280001 3e+05 290000.5 1 0 0 natural 0
12 300001 320000 310000.5 10.25 0 3 natural 0
12 320001 340000 330000.5 13.5 0 0 natural 0
12 340001 360000 350000.5 11.25 0 1 natural 0
12 360001 380000 370000.5 7 0 0 natural 0
12 380001 4e+05 390000.5 5.5 1 224 natural 0
12 400001 420000 410000.5 1 0 341 natural 0
12 420001 440000 430000.5 2 0 379 natural 0
12 440001 460000 450000.5 0 0 168 natural 0
13 1 20000 10000.5 0 0 48 natural 0
13 20001 40000 30000.5 21 0 34 natural 1
13 40001 60000 50000.5 11 0 4 natural 1
13 60001 80000 70000.5 12 0 15 natural 1
13 80001 1e+05 90000.5 6 0 0 natural 1
13 100001 120000 110000.5 6 0 0 natural 1
13 120001 140000 130000.5 6 0 0 natural 0
13 140001 160000 150000.5 3 0 1 natural 0
13 160001 180000 170000.5 7 11 67 natural 0
13 180001 2e+05 190000.5 1 0 93 natural 0
13 200001 220000 210000.5 5 3 62 natural 0
13 220001 240000 230000.5 2 1 39 natural 0
13 240001 260000 250000.5 2 0 0 natural 0
13 260001 280000 270000.5 10 1 35 natural 0
13 280001 3e+05 290000.5 4.75 0 1 natural 0
13 300001 320000 310000.5 7.5 0 0 natural 0
13 320001 340000 330000.5 10.5 0 1 natural 0
13 340001 360000 350000.5 9.5 0 0 natural 0
13 360001 380000 370000.5 8.75 1 42 natural 0
13 380001 4e+05 390000.5 6 2 66 natural 0
13 400001 420000 410000.5 1 0 157 natural 0
13 420001 440000 430000.5 3 0 266 natural 0
13 440001 460000 450000.5 6 5 290 natural 0
13 460001 480000 470000.5 4 0 329 natural 0
13 480001 5e+05 490000.5 6 1 280 natural 0
13 500001 520000 510000.5 1 0 284 natural 0
13 520001 540000 530000.5 4 0 183 natural 0
13 540001 560000 550000.5 3 0 26 natural 0
13 560001 580000 570000.5 3 1 12 natural 0
13 580001 6e+05 590000.5 2 1 52 natural 0
13 600001 620000 610000.5 11 1 62 natural 0
13 620001 640000 630000.5 6 0 43 natural 0
13 640001 660000 650000.5 9 5 38 natural 0
13 660001 680000 670000.5 7 2 38 natural 0
13 680001 7e+05 690000.5 2 0 40 natural 0
13 700001 720000 710000.5 3 1 20 natural 0
13 720001 740000 730000.5 12 2 44 natural 0
13 740001 760000 750000.5 10 3 38 natural 0
13 760001 780000 770000.5 10 1 28 natural 0
13 780001 8e+05 790000.5 3 0 63 natural 0
13 800001 820000 810000.5 6 0 56 natural 0
13 820001 840000 830000.5 9 1 31 natural 0
13 840001 860000 850000.5 19 5 72 natural 0
13 860001 880000 870000.5 1 0 31 natural 0
13 880001 9e+05 890000.5 10 3 47 natural 0
13 900001 920000 910000.5 1 0 22 natural 0
14 1 20000 10000.5 5 0 206 natural 1
14 20001 40000 30000.5 12 0 37 natural 1
14 40001 60000 50000.5 9 4 45 natural 1
14 60001 80000 70000.5 2 0 59 natural 1
14 80001 1e+05 90000.5 7 1 45 natural 1
14 100001 120000 110000.5 7 1 28 natural 1
14 120001 140000 130000.5 10 0 13 natural 1
14 140001 160000 150000.5 3 1 71 natural 1
14 160001 180000 170000.5 2 2 52 natural 1
14 180001 2e+05 190000.5 26 5 56 natural 1
14 200001 220000 210000.5 3 1 26 natural 1
14 220001 240000 230000.5 0 0 46 natural 1
14 240001 260000 250000.5 3 1 56 natural 1
14 260001 280000 270000.5 3 1 56 natural 1
14 280001 3e+05 290000.5 15 3 47 natural 1
14 300001 320000 310000.5 5 2 55 natural 1
14 320001 340000 330000.5 5 2 44 natural 1
14 340001 360000 350000.5 10 4 49 natural 1
14 360001 380000 370000.5 4.3 0 16 natural 1
14 380001 4e+05 390000.5 6.6 0 0 natural 1
14 400001 420000 410000.5 6.6 0 0 natural 1
14 420001 440000 430000.5 6.6 0 0 natural 1
14 440001 460000 450000.5 6.6 0 0 natural 1
14 460001 480000 470000.5 6.8 0 1 natural 1
14 480001 5e+05 490000.5 7 0 0 natural 1
14 500001 520000 510000.5 7 0 0 natural 1
14 520001 540000 530000.5 8.5 3 17 natural 1
14 540001 560000 550000.5 5.1667 0 23 natural 1
14 560001 580000 570000.5 6.3333 0 0 natural 1
14 580001 6e+05 590000.5 6.3333 0 0 natural 1
14 600001 620000 610000.5 7.1667 0 1 natural 0
14 620001 640000 630000.5 8 0 0 natural 0
14 640001 660000 650000.5 10 0 2 natural 0
14 660001 680000 670000.5 8 0 0 natural 0
14 680001 7e+05 690000.5 8 0 0 natural 0
14 700001 720000 710000.5 8 1 222 natural 0
14 720001 740000 730000.5 6 2 164 natural 0
14 740001 760000 750000.5 0 13 81 natural 0
15 1 20000 10000.5 5.5 0 20 natural 0
15 20001 40000 30000.5 11 0 0 natural 0
15 40001 60000 50000.5 11 0 0 natural 0
15 60001 80000 70000.5 11 0 0 natural 0
15 80001 1e+05 90000.5 8.9167 0 1 natural 0
15 100001 120000 110000.5 6.8333 0 0 natural 0
15 120001 140000 130000.5 6.8333 0 0 natural 0
15 140001 160000 150000.5 6.8333 0 0 natural 0
15 160001 180000 170000.5 6.8333 0 0 natural 0
15 180001 2e+05 190000.5 6.8333 0 0 natural 0
15 200001 220000 210000.5 15.6667 1 32 natural 0
15 220001 240000 230000.5 6.5 0 0 natural 0
15 240001 260000 250000.5 10.25 4 57 natural 0
15 260001 280000 270000.5 3 5 56 natural 0
15 280001 3e+05 290000.5 1 0 58 natural 0
15 300001 320000 310000.5 1 0 72 natural 0
15 320001 340000 330000.5 3 0 56 natural 0
15 340001 360000 350000.5 9 1 76 natural 0
15 360001 380000 370000.5 2 1 24 natural 1
15 380001 4e+05 390000.5 19 4 68 natural 1
15 400001 420000 410000.5 13 2 75 natural 1
15 420001 440000 430000.5 5 0 30 natural 1
15 440001 460000 450000.5 4 0 48 natural 0
15 460001 480000 470000.5 4 1 51 natural 0
15 480001 5e+05 490000.5 0 0 35 natural 0
15 500001 520000 510000.5 3 1 16 natural 0
15 520001 540000 530000.5 8 2 69 natural 0
15 540001 560000 550000.5 5 3 51 natural 0
15 560001 580000 570000.5 6.1667 2 48 natural 0
15 580001 6e+05 590000.5 6.3333 0 0 natural 0
15 600001 620000 610000.5 6.3333 0 0 natural 0
15 620001 640000 630000.5 5.6667 0 1 natural 0
15 640001 660000 650000.5 5 0 0 natural 0
15 660001 680000 670000.5 12.5 0 57 natural 0
15 680001 7e+05 690000.5 14 1 53 natural 0
15 700001 720000 710000.5 12 1 21 natural 0
15 720001 740000 730000.5 0 0 1 natural 0
15 740001 760000 750000.5 0 0 0 natural 0
15 760001 780000 770000.5 0 0 0 natural 0
16 1 20000 10000.5 1 0 81 natural 0
16 20001 40000 30000.5 45 0 67 natural 0
16 40001 60000 50000.5 10 0 40 natural 0
16 60001 80000 70000.5 2 0 75 natural 0
16 80001 1e+05 90000.5 17 4 55 natural 0
16 100001 120000 110000.5 4 0 67 natural 0
16 120001 140000 130000.5 8 5 55 natural 0
16 140001 160000 150000.5 10 4 56 natural 0
16 160001 180000 170000.5 7 2 59 natural 0
16 180001 2e+05 190000.5 1 0 42 natural 0
16 200001 220000 210000.5 3 0 42 natural 0
16 220001 240000 230000.5 6 1 49 natural 0
16 240001 260000 250000.5 9 0 22 natural 0
16 260001 280000 270000.5 5 0 26 natural 0
16 280001 3e+05 290000.5 2 1 44 natural 0
16 300001 320000 310000.5 6 1 67 natural 0
16 320001 340000 330000.5 3 0 56 natural 0
