chr	start	end	mid	COcount	NCOcount	SNPcount
4	740001	760000	750000.5	7.75	0	5
4	760001	780000	770000.5	3	1	38
4	780001	8.00E+05	790000.5	8	1	49
4	800001	820000	810000.5	5	1	111
4	820001	840000	830000.5	9	6	132
4	840001	860000	850000.5	11	0	38
4	860001	880000	870000.5	0	3	657
4	880001	9.00E+05	890000.5	0	22	1139
4	900001	920000	910000.5	3	16	1306
4	920001	940000	930000.5	0	15	1304
4	940001	960000	950000.5	0	17	1128
4	960001	980000	970000.5	0	9	812
4	980001	1.00E+06	990000.5	0	3	66
5	1	20000	10000.5	9	0	64
5	20001	40000	30000.5	9	3	15
5	40001	60000	50000.5	12	4	69
5	60001	80000	70000.5	6	2	11
5	80001	1.00E+05	90000.5	10	0	1
5	100001	120000	110000.5	5	3	39
5	120001	140000	130000.5	0	0	30
5	140001	160000	150000.5	2	1	115
5	160001	180000	170000.5	3.6667	0	31
5	180001	2.00E+05	190000.5	7.3333	1	0
5	200001	220000	210000.5	7.3333	0	0
5	220001	240000	230000.5	9.6667	0	1
5	240001	260000	250000.5	6.25	0	24
5	260001	280000	270000.5	4.5	0	0
5	280001	3.00E+05	290000.5	2.25	0	2
5	300001	320000	310000.5	15	1	16
5	320001	340000	330000.5	4	0	0
5	340001	360000	350000.5	4	0	1
5	360001	380000	370000.5	4	0	0
5	380001	4.00E+05	390000.5	6	0	1
5	400001	420000	410000.5	8	0	0
5	420001	440000	430000.5	11	6	37
5	440001	460000	450000.5	8	0	17
5	460001	480000	470000.5	4	0	23
5	480001	5.00E+05	490000.5	3	2	33
5	500001	520000	510000.5	4	0	43
5	520001	540000	530000.5	0	0	28
6	1	20000	10000.5	0	0	893
6	20001	40000	30000.5	2	18	905
6	40001	60000	50000.5	1	1	1249
6	60001	80000	70000.5	18	8	416
6	80001	1.00E+05	90000.5	1	2	59
6	100001	120000	110000.5	0	0	31
6	120001	140000	130000.5	3	3	61
6	140001	160000	150000.5	13.75	2	46
6	160001	180000	170000.5	9.5	0	0
6	180001	2.00E+05	190000.5	10.75	50	16
6	200001	220000	210000.5	3	0	1
6	220001	240000	230000.5	10	1	67
6	240001	260000	250000.5	7	0	71
6	260001	280000	270000.5	1	1	45
6	280001	3.00E+05	290000.5	2	1	62
6	300001	320000	310000.5	6	1	37
6	320001	340000	330000.5	2	2	50
6	340001	360000	350000.5	9	2	55
6	360001	380000	370000.5	3	1	53
6	380001	4.00E+05	390000.5	8.1667	1	39
6	400001	420000	410000.5	6.3333	0	0
6	420001	440000	430000.5	6.3333	0	0
6	440001	460000	450000.5	7.1667	1	27
6	460001	480000	470000.5	3	0	5
6	480001	5.00E+05	490000.5	3	1	23
6	500001	520000	510000.5	0	0	0
6	520001	540000	530000.5	0	0	0
7	1	20000	10000.5	16	0	2
7	20001	40000	30000.5	17	1	37
7	40001	60000	50000.5	0	8	830
7	60001	80000	70000.5	2	0	60
7	80001	1.00E+05	90000.5	3	2	34
7	100001	120000	110000.5	2	0	21
7	120001	140000	130000.5	3	0	18
7	140001	160000	150000.5	0	0	25
7	160001	180000	170000.5	7	0	0
7	180001	2.00E+05	190000.5	3	0	28
7	200001	220000	210000.5	0	1	49
7	220001	240000	230000.5	8	0	2
7	240001	260000	250000.5	6	0	0
7	260001	280000	270000.5	6	1	22
7	280001	3.00E+05	290000.5	3	0	51
7	300001	320000	310000.5	2	2	32
7	320001	340000	330000.5	1	0	45
7	340001	360000	350000.5	3	0	71
7	360001	380000	370000.5	5	1	76
7	380001	4.00E+05	390000.5	12	0	11
7	400001	420000	410000.5	7	0	52
7	420001	440000	430000.5	8	2	21
7	440001	460000	450000.5	8	42	19
7	460001	480000	470000.5	4	1	79
7	480001	5.00E+05	490000.5	0	1	238
7	500001	520000	510000.5	2	4	260
7	520001	540000	530000.5	7	0	49
7	540001	560000	550000.5	4	0	2
7	560001	580000	570000.5	4	0	33
7	580001	6.00E+05	590000.5	9	5	101
7	600001	620000	610000.5	7	0	52
7	620001	640000	630000.5	2	3	70
7	640001	660000	650000.5	5	1	44
7	660001	680000	670000.5	1	1	84
7	680001	7.00E+05	690000.5	1	1	59
7	700001	720000	710000.5	9	0	56
7	720001	740000	730000.5	6	3	54
7	740001	760000	750000.5	5.75	1	40
7	760001	780000	770000.5	7.5	0	0
7	780001	8.00E+05	790000.5	6.75	0	46
7	800001	820000	810000.5	9.5	1	48
7	820001	840000	830000.5	7	0	0
7	840001	860000	850000.5	7	0	0
7	860001	880000	870000.5	8.5	3	47
7	880001	9.00E+05	890000.5	0	3	62
7	900001	920000	910000.5	1	2	243
7	920001	940000	930000.5	4	2	155
7	940001	960000	950000.5	7	1	48
7	960001	980000	970000.5	12	3	48
7	980001	1.00E+06	990000.5	1	0	43
7	1000001	1020000	1010000.5	8	0	56
7	1020001	1040000	1030000.5	1	1	40
8	1	20000	10000.5	3.5	0	89
8	20001	40000	30000.5	7	0	0
8	40001	60000	50000.5	8.5	4	17
8	60001	80000	70000.5	11	2	46
8	80001	1.00E+05	90000.5	3	0	44
8	100001	120000	110000.5	7.25	0	40
8	120001	140000	130000.5	10.5	1	0
8	140001	160000	150000.5	5.25	0	38
8	160001	180000	170000.5	7	3	57
8	180001	2.00E+05	190000.5	5	1	39
8	200001	220000	210000.5	8	0	29
8	220001	240000	230000.5	5	1	60
8	240001	260000	250000.5	2	2	29
8	260001	280000	270000.5	7	0	10
8	280001	3.00E+05	290000.5	4	1	54
8	300001	320000	310000.5	1	0	51
8	320001	340000	330000.5	2	2	59
8	340001	360000	350000.5	6	0	54
8	360001	380000	370000.5	8	1	6
8	380001	4.00E+05	390000.5	6	0	0
8	400001	420000	410000.5	3	0	1
8	420001	440000	430000.5	9	1	13
8	440001	460000	450000.5	5	2	58
8	460001	480000	470000.5	0	2	50
8	480001	5.00E+05	490000.5	5	0	40
8	500001	520000	510000.5	11	3	53
8	520001	540000	530000.5	3	1	12
8	540001	560000	550000.5	2	1	34
8	560001	580000	570000.5	16	1	65
8	580001	6.00E+05	590000.5	2.75	2	20
8	600001	620000	610000.5	3.5	0	0
8	620001	640000	630000.5	3.75	0	13
8	640001	660000	650000.5	4	0	0
8	660001	680000	670000.5	2	1	31
8	680001	7.00E+05	690000.5	4	1	65
8	700001	720000	710000.5	4	0	68
8	720001	740000	730000.5	8	0	33
8	740001	760000	750000.5	2	0	9
8	760001	780000	770000.5	16	1	8
8	780001	8.00E+05	790000.5	0	0	3
8	800001	820000	810000.5	0	0	0
9	1	20000	10000.5	0	0	0
9	20001	40000	30000.5	5	0	1
9	40001	60000	50000.5	10	0	0
9	60001	80000	70000.5	8	0	10
9	80001	1.00E+05	90000.5	3	4	49
9	100001	120000	110000.5	0	0	4
9	120001	140000	130000.5	12	1	30
9	140001	160000	150000.5	7	4	210
9	160001	180000	170000.5	0	13	1170
9	180001	2.00E+05	190000.5	1	7	1223
9	200001	220000	210000.5	0	5	983
9	220001	240000	230000.5	1	4	905
9	240001	260000	250000.5	3	10	924
9	260001	280000	270000.5	4	16	1190
9	280001	3.00E+05	290000.5	0	11	985
9	300001	320000	310000.5	8.75	0	1
9	320001	340000	330000.5	3.5	0	0
9	340001	360000	350000.5	2.75	1	4
9	360001	380000	370000.5	13	4	97
9	380001	4.00E+05	390000.5	6	1	129
9	400001	420000	410000.5	9	2	48
10	1	20000	10000.5	0	0	0
10	20001	40000	30000.5	0	12	0
10	40001	60000	50000.5	0	1	75
10	60001	80000	70000.5	1	3	77
10	80001	1.00E+05	90000.5	10	1	61
10	100001	120000	110000.5	20	1	1
10	120001	140000	130000.5	2	2	19
10	140001	160000	150000.5	0	0	23
10	160001	180000	170000.5	3	0	65
10	180001	2.00E+05	190000.5	6	3	88
10	200001	220000	210000.5	3	5	61
10	220001	240000	230000.5	14	3	317
10	240001	260000	250000.5	0	0	1199
10	260001	280000	270000.5	1	9	1056
10	280001	3.00E+05	290000.5	3	4	820
10	300001	320000	310000.5	0	5	1316
10	320001	340000	330000.5	0	7	1279
10	340001	360000	350000.5	0	9	1158
10	360001	380000	370000.5	0	8	949
10	380001	4.00E+05	390000.5	0	4	979
10	400001	420000	410000.5	2	2	1058
10	420001	440000	430000.5	6	3	597
10	440001	460000	450000.5	8	0	0
10	460001	480000	470000.5	8	2	0
10	480001	5.00E+05	490000.5	12	2	51
10	500001	520000	510000.5	2	0	34
10	520001	540000	530000.5	14	3	55
10	540001	560000	550000.5	2	3	16
10	560001	580000	570000.5	7	1	4
10	580001	6.00E+05	590000.5	8	0	60
10	600001	620000	610000.5	0	0	11
10	620001	640000	630000.5	19	0	0
10	640001	660000	650000.5	0	1	28
10	660001	680000	670000.5	5	4	57
10	680001	7.00E+05	690000.5	3.25	4	31
10	700001	720000	710000.5	0.5	0	0
10	720001	740000	730000.5	9.25	1	0
10	740001	760000	750000.5	6	2	74
10	760001	780000	770000.5	1	5	139
10	780001	8.00E+05	790000.5	6	4	50
10	800001	820000	810000.5	4	0	68
10	820001	840000	830000.5	6	3	62
10	840001	860000	850000.5	3	1	32
10	860001	880000	870000.5	10	3	95
10	880001	9.00E+05	890000.5	4	1	50
10	900001	920000	910000.5	4	1	43
10	920001	940000	930000.5	0	0	20
10	940001	960000	950000.5	8	0	7
10	960001	980000	970000.5	12	5	54
10	980001	1.00E+06	990000.5	5	2	25
10	1000001	1020000	1010000.5	0	0	1
11	1	20000	10000.5	0	0	0
11	20001	40000	30000.5	5	0	7
11	40001	60000	50000.5	6.25	0	1
11	60001	80000	70000.5	6.5	0	0
11	80001	1.00E+05	90000.5	5.25	0	15
11	100001	120000	110000.5	2	0	31
11	120001	140000	130000.5	3	4	42
11	140001	160000	150000.5	10	0	10
11	160001	180000	170000.5	3	1	23
11	180001	2.00E+05	190000.5	1	1	34
11	200001	220000	210000.5	4	1	46
11	220001	240000	230000.5	8	2	22
11	240001	260000	250000.5	4	3	73
11	260001	280000	270000.5	5	2	38
11	280001	3.00E+05	290000.5	0	2	83
11	300001	320000	310000.5	4	0	62
11	320001	340000	330000.5	1	0	62
11	340001	360000	350000.5	12	0	6
11	360001	380000	370000.5	9	1	39
11	380001	4.00E+05	390000.5	2.25	0	3
11	400001	420000	410000.5	4.5	0	0
11	420001	440000	430000.5	6.0833	0	1
11	440001	460000	450000.5	5.6667	0	0
11	460001	480000	470000.5	5.6667	0	0
11	480001	5.00E+05	490000.5	3.8333	0	1
11	500001	520000	510000.5	25	10	40
11	520001	540000	530000.5	2	0	34
11	540001	560000	550000.5	7	0	6
11	560001	580000	570000.5	7	2	29
11	580001	6.00E+05	590000.5	5	1	81
11	600001	620000	610000.5	3	1	51
11	620001	640000	630000.5	0	1	21
12	1	20000	10000.5	3.25	0	2
12	20001	40000	30000.5	4.5	0	0
12	40001	60000	50000.5	18.25	0	7
12	60001	80000	70000.5	9	4	21
12	80001	1.00E+05	90000.5	6	0	32
12	100001	120000	110000.5	0.5	0	41
12	120001	140000	130000.5	1	0	0
12	140001	160000	150000.5	3.8333	0	1
12	160001	180000	170000.5	4.6667	0	0
12	180001	2.00E+05	190000.5	4.6667	2	0
12	200001	220000	210000.5	6.3333	0	32
12	220001	240000	230000.5	0	0	61
12	240001	260000	250000.5	10	5	44
12	260001	280000	270000.5	3	0	68
12	280001	3.00E+05	290000.5	3	0	18
12	300001	320000	310000.5	11	2	1
12	320001	340000	330000.5	13	1	59
12	340001	360000	350000.5	2	2	63
12	360001	380000	370000.5	0	1	82
12	380001	4.00E+05	390000.5	1	0	8
12	400001	420000	410000.5	0	0	0
12	420001	440000	430000.5	0	0	0
12	440001	460000	450000.5	0	0	0
13	1	20000	10000.5	5	18	234
13	20001	40000	30000.5	2	19	832
13	40001	60000	50000.5	2	28	1169
13	60001	80000	70000.5	1	25	1241
13	80001	1.00E+05	90000.5	0	30	1195
13	100001	120000	110000.5	4.3333	3	199
13	120001	140000	130000.5	8.6667	0	0
13	140001	160000	150000.5	8.6667	0	0
13	160001	180000	170000.5	7.3333	1	10
13	180001	2.00E+05	190000.5	4	0	1
13	200001	220000	210000.5	12	0	3
13	220001	240000	230000.5	5	2	48
13	240001	260000	250000.5	0	0	32
13	260001	280000	270000.5	1.25	0	32
13	280001	3.00E+05	290000.5	2.5	2	0
13	300001	320000	310000.5	5.25	0	76
13	320001	340000	330000.5	8.5	1	18
13	340001	360000	350000.5	7	0	0
13	360001	380000	370000.5	7	0	0
13	380001	4.00E+05	390000.5	4.5	0	5
13	400001	420000	410000.5	1	2	30
13	420001	440000	430000.5	3.6667	0	24
13	440001	460000	450000.5	7.3333	0	0
13	460001	480000	470000.5	7.3333	0	0
13	480001	5.00E+05	490000.5	3.6667	0	21
13	500001	520000	510000.5	2	0	8
13	520001	540000	530000.5	5	0	40
13	540001	560000	550000.5	6	0	1
13	560001	580000	570000.5	4	1	9
13	580001	6.00E+05	590000.5	2.1667	0	32
13	600001	620000	610000.5	4.3333	0	0
13	620001	640000	630000.5	4.3333	0	0
13	640001	660000	650000.5	7.1667	0	1
13	660001	680000	670000.5	2.375	0	1
13	680001	7.00E+05	690000.5	4.75	0	0
13	700001	720000	710000.5	4.75	0	0
13	720001	740000	730000.5	4.75	2	0
13	740001	760000	750000.5	7.125	0	9
13	760001	780000	770000.5	3.5	0	0
13	780001	8.00E+05	790000.5	4.75	1	19
13	800001	820000	810000.5	6	0	57
13	820001	840000	830000.5	6	0	31
13	840001	860000	850000.5	6	3	70
13	860001	880000	870000.5	7	1	20
13	880001	9.00E+05	890000.5	4	2	46
13	900001	920000	910000.5	1	0	20
14	1	20000	10000.5	0	0	0
14	20001	40000	30000.5	12	6	45
14	40001	60000	50000.5	10	4	29
14	60001	80000	70000.5	6	2	53
14	80001	1.00E+05	90000.5	8	0	20
14	100001	120000	110000.5	7	4	47
14	120001	140000	130000.5	6	0	31
14	140001	160000	150000.5	3	1	50
14	160001	180000	170000.5	1	1	46
14	180001	2.00E+05	190000.5	3	9	1059
14	200001	220000	210000.5	3	5	792
14	220001	240000	230000.5	7	2	235
14	240001	260000	250000.5	0	14	1071
14	260001	280000	270000.5	0	12	957
14	280001	3.00E+05	290000.5	0	19	1010
14	300001	320000	310000.5	0	17	1226
14	320001	340000	330000.5	0	14	1104
14	340001	360000	350000.5	1	12	968
14	360001	380000	370000.5	0	18	1215
14	380001	4.00E+05	390000.5	0	15	1138
14	400001	420000	410000.5	1	18	1103
14	420001	440000	430000.5	0	15	1075
14	440001	460000	450000.5	1	9	1000
14	460001	480000	470000.5	0	16	1235
14	480001	5.00E+05	490000.5	1	20	1038
14	500001	520000	510000.5	2	12	1004
14	520001	540000	530000.5	1	15	1170
14	540001	560000	550000.5	1	17	862
14	560001	580000	570000.5	1	18	1116
14	580001	6.00E+05	590000.5	2	6	301
14	600001	620000	610000.5	0	1	71
14	620001	640000	630000.5	9	3	58
14	640001	660000	650000.5	15	3	41
14	660001	680000	670000.5	10	2	54
14	680001	7.00E+05	690000.5	11	1	39
14	700001	720000	710000.5	13	0	12
14	720001	740000	730000.5	1	16	38
14	740001	760000	750000.5	0	0	0
15	1	20000	10000.5	2.6667	0	1
15	20001	40000	30000.5	5.3333	0	0
15	40001	60000	50000.5	5.3333	0	0
15	60001	80000	70000.5	5.6667	0	39
15	80001	1.00E+05	90000.5	7	0	41
15	100001	120000	110000.5	8	3	67
15	120001	140000	130000.5	8.1667	1	52
15	140001	160000	150000.5	6.3333	0	0
15	160001	180000	170000.5	6.3333	0	0
15	180001	2.00E+05	190000.5	7.1667	1	12
15	200001	220000	210000.5	9	0	51
15	220001	240000	230000.5	2	2	34
15	240001	260000	250000.5	7	3	68
15	260001	280000	270000.5	9	0	7
15	280001	3.00E+05	290000.5	2	1	53
15	300001	320000	310000.5	2	2	60
15	320001	340000	330000.5	0	1	67
15	340001	360000	350000.5	13	0	33
15	360001	380000	370000.5	0	14	777
15	380001	4.00E+05	390000.5	1	26	1108
15	400001	420000	410000.5	2	23	1077
15	420001	440000	430000.5	4.25	31	795
15	440001	460000	450000.5	8.5	0	0
15	460001	480000	470000.5	7.25	1	20
15	480001	5.00E+05	490000.5	2	0	0
15	500001	520000	510000.5	3	0	16
15	520001	540000	530000.5	5	3	73
15	540001	560000	550000.5	4	4	52
15	560001	580000	570000.5	2	1	27
15	580001	6.00E+05	590000.5	5	1	46
15	600001	620000	610000.5	1	1	59
15	620001	640000	630000.5	6	0	29
15	640001	660000	650000.5	4	0	35
15	660001	680000	670000.5	5	1	16
15	680001	7.00E+05	690000.5	15	5	27
15	700001	720000	710000.5	8.75	4	68
15	720001	740000	730000.5	9.5	0	0
15	740001	760000	750000.5	4.75	0	6
15	760001	780000	770000.5	0	0	0
16	1	20000	10000.5	0	1	67
16	20001	40000	30000.5	45	0	3
16	40001	60000	50000.5	13.25	0	7
16	60001	80000	70000.5	4.5	1	0
16	80001	1.00E+05	90000.5	17.25	0	12
16	100001	120000	110000.5	1	0	2
16	120001	140000	130000.5	12	0	9
16	140001	160000	150000.5	1.875	0	1
16	160001	180000	170000.5	3.75	0	0
16	180001	2.00E+05	190000.5	3.75	0	0
16	200001	220000	210000.5	3.75	0	0
16	220001	240000	230000.5	6.875	3	46
16	240001	260000	250000.5	2	0	39
16	260001	280000	270000.5	2	0	16
16	280001	3.00E+05	290000.5	3	2	46
16	300001	320000	310000.5	1	2	52
16	320001	340000	330000.5	1	0	32
16	340001	360000	350000.5	5	1	27
16	360001	380000	370000.5	4	0	49
16	380001	4.00E+05	390000.5	8	4	88
16	400001	420000	410000.5	1	1	15
16	420001	440000	430000.5	4	3	81
16	440001	460000	450000.5	3	1	48
16	460001	480000	470000.5	16	4	13
16	480001	5.00E+05	490000.5	10	0	0
16	500001	520000	510000.5	7	0	1
16	520001	540000	530000.5	7	1	38
16	540001	560000	550000.5	1	0	53
16	560001	580000	570000.5	3.3333	0	7
16	580001	6.00E+05	590000.5	2.6667	1	0
16	600001	620000	610000.5	2.6667	0	0
16	620001	640000	630000.5	3.3333	0	1
16	640001	660000	650000.5	4	1	291
16	660001	680000	670000.5	2	3	93
16	680001	7.00E+05	690000.5	11	1	47
16	700001	720000	710000.5	10	1	46
16	720001	740000	730000.5	1	1	44
16	740001	760000	750000.5	1	1	35
16	760001	780000	770000.5	6.5	0	1
16	780001	8.00E+05	790000.5	9	0	0
16	800001	820000	810000.5	7.5	0	5
16	820001	840000	830000.5	12	7	70
16	840001	860000	850000.5	4	2	42
16	860001	880000	870000.5	4	1	48
16	880001	9.00E+05	890000.5	3	2	12
16	900001	920000	910000.5	0	0	0
