tetrad	chr	pos(bp)	tract_type	tract_len	tract_min_len	tract_max_len	marker	YJM_SNP	chromatids	of_tract	snp_start_out	snp_start_in	snp_end_in	snp_end_out
2	6	77197.0	0	6795.0	2543	11047	10	3	2	1	69747	77852	80395	80794
2	6	199218.25	2	7991.5	0	0	6	4	0	1	193947	196498	197209	209219
2	6	481063.25	1	2375.5	760	3991	2	1	0	1	479385	480366	481126	483376
2	6	354152.0	1	442.0	0	884	1	1	0	1	353843	354019	354019	354727
2	6	481063.25	10	2375.5	760	3991	2	1	0	1	479385	480366	481126	483376
2	6	354152.0	10	442.0	0	884	1	1	0	1	353843	354019	354019	354727
2	7	50723.25	0	105.5	0	211	1	1	1	1	50668	50673	50673	50879
2	7	116554.5	0	5575.0	0	11150	1	3	3	1	108432	119102	119102	119582
2	7	405367.0	0	1215.0	0	2430	1	1	1	1	403809	405710	405710	406239
2	7	440999.25	0	97.5	0	195	1	1	0	1	440944	440957	440957	441139
2	7	678157.25	0	638.5	0	1277	1	1	2	1	677473	678203	678203	678750
2	7	712265.0	0	893.0	0	1786	1	1	3	1	711540	712097	712097	713326
2	7	914013.75	0	194.5	48	341	2	1	3	1	913830	914003	914051	914171
2	7	959969.75	0	379.5	0	759	1	1	1	1	959498	960062	960062	960257
2	7	1012383.5	0	702.0	0	1404	1	3	4	1	1011853	1012212	1012212	1013257
2	7	440928.25	2	44.5	0	0	2	0	0	1	440885	440927	440944	440957
2	8	279843.25	0	353.5	0	707	1	3	1	1	279664	279669	279669	280371
2	8	519001.5	2	6.0	0	0	1	4	0	1	518997	519000	519000	519009
2	8	451549.5	1	2285.0	1720	2850	5	2	0	1	450142	450672	452392	452992
2	8	450758.75	6	703.5	0	1407	1	1	4	1	450142	450672	450672	451549
2	8	451549.5	8	2285.0	1720	2850	5	2	0	1	450142	450672	452392	452992
2	9	257010.5	0	134.0	0	268	1	3	3	1	256885	257002	257002	257153
2	9	189777.75	2	3.5	0	0	1	4	0	1	189775	189777	189777	189782
2	9	189791.25	2	2.5	0	0	1	4	0	1	189789	189791	189791	189794
2	9	189796.5	2	2.0	0	0	2	4	0	1	189795	189796	189797	189798
2	9	232245.0	2	64.0	0	0	1	4	0	1	232165	232261	232261	232293
2	9	379179.0	1	3451.0	2642	4260	34	1	0	1	376746	378161	380803	381006
2	9	136440.75	5	5761.5	0	9725	2	none	"[1, 2]"	1	132692	136226	136226	142417
2	9	379179.0	10	3451.0	2642	4260	34	1	0	1	376746	378161	380803	381006
2	10	88638.0	0	1137.0	0	2274	1	3	4	1	87223	88916	88916	89497
2	10	204214.0	0	976.0	281	1671	13	3	1	1	203076	204376	204657	204747
2	10	553389.0	0	17973.0	1197	34749	10	1	4	1	543944	544861	546058	578693
2	10	990359.75	0	11621.5	593	22650	5	1	2	1	983924	985174	985767	1006574
2	10	82425.25	1	1963.5	1287	2640	6	3	0	1	81035	81852	83139	83675
2	10	470666.5	6	28233.0	2029	54437	13	1	3	1	430442	482658	484687	484879
2	10	82425.25	10	1963.5	1287	2640	6	3	0	1	81035	81852	83139	83675
2	11	132840.75	6	1137.5	0	2275	1	1	1	1	132088	132456	132456	134363
2	11	220370.25	0	9857.5	1902	17813	6	1	2	1	215311	215572	217474	233124
2	11	366645.5	0	1220.0	0	2440	1	3	3	1	364921	367150	367150	367361
2	11	154434.75	1	9116.5	0	18233	1	3	0	1	142031	157722	157722	160264
2	11	313756.75	1	3087.5	230	5945	10	1	0	1	311931	312495	312725	317876
2	11	136243.0	1	1948.0	785	3111	3	1	0	1	134363	136175	136960	137474
2	11	154434.75	10	9116.5	0	18233	1	3	0	1	142031	157722	157722	160264
2	11	313756.75	10	3087.5	230	5945	10	1	0	1	311931	312495	312725	317876
2	11	136243.0	8	1948.0	785	3111	3	1	0	1	134363	136175	136960	137474
2	12	263363.5	1	3623.0	2103	5143	15	3	0	1	261066	262038	264141	266209
2	12	263363.5	10	3623.0	2103	5143	15	3	0	1	261066	262038	264141	266209
2	13	11553.75	0	28.5	12	45	3	3	1	1	11535	11544	11556	11580
2	13	415450.5	0	152.0	0	304	1	1	3	1	415289	415460	415460	415593
2	13	519055.0	0	3237.0	951	5523	2	1	3	1	516613	518260	519211	522136
2	13	70898.0	2	19.0	0	0	1	0	0	1	70888	70889	70889	70926
2	13	90327.25	2	161.5	0	0	1	0	0	1	90242	90251	90251	90565
2	14	377509.25	0	103.5	0	207	1	1	2	1	377367	377548	377548	377574
2	14	415601.5	0	209.0	0	418	1	1	2	1	415385	415609	415609	415803
2	14	421457.25	0	49.5	0	99	1	1	2	1	421418	421447	421447	421517
2	14	514062.0	0	62.0	0	124	1	1	3	1	514030	514032	514032	514154
2	14	525345.25	0	64.5	0	129	1	1	2	1	525273	525353	525353	525402
2	14	561214.25	0	7.5	0	15	1	1	3	1	561210	561211	561211	561225
2	14	580902.25	0	132.5	0	265	1	1	2	1	580711	580961	580961	580976
2	14	682553.25	0	1765.5	1169	2362	2	1	1	1	681436	681905	683074	683798
2	14	249852.0	2	575.0	0	0	1	0	0	1	249127	250002	250002	250277
2	14	289120.75	2	208.5	0	0	1	0	0	1	288957	289076	289076	289374
2	14	297841.25	2	2.5	0	0	1	0	0	1	297839	297841	297841	297844
2	14	305437.75	2	203.5	0	0	1	0	0	1	305248	305424	305424	305655
2	14	315276.75	2	112.5	0	0	1	0	0	1	315138	315303	315303	315363
2	14	322874.25	2	49.5	0	0	1	0	0	1	322813	322886	322886	322912
2	14	386434.75	2	212.5	0	0	1	0	0	1	386305	386352	386352	386730
2	14	442481.5	2	38.0	0	0	1	0	0	1	442441	442484	442484	442517
2	14	468394.0	2	81.0	0	0	1	0	0	1	468308	468399	468399	468470
2	14	498356.25	2	122.5	0	0	1	0	0	1	498257	498333	498333	498502
2	14	500343.5	2	4.0	0	0	1	0	0	1	500340	500343	500343	500348
2	14	506588.75	2	119.5	0	0	1	0	0	1	506503	506555	506555	506742
2	14	584150.0	2	161.0	0	0	1	0	0	1	584014	584125	584125	584336
2	14	585724.75	2	198.5	0	0	1	0	0	1	585479	585772	585772	585876
2	14	625203.75	2	822.5	0	0	1	4	0	1	624530	625055	625055	626175
2	14	635160.0	1	2281.0	1853	2709	8	3	0	1	633710	634329	636182	636419
2	14	635160.0	10	2281.0	1853	2709	8	3	0	1	633710	634329	636182	636419
2	15	382764.5	0	366.0	0	732	1	3	1	1	382459	382704	382704	383191
2	15	402387.0	0	2068.0	1718	2418	149	1	4	1	401112	401594	403312	403530
2	15	420459.75	0	19.5	0	39	1	3	1	1	420432	420468	420468	420471
2	15	420877.5	0	41.0	4	78	2	1	2	1	420832	420882	420886	420910
2	15	420938.25	0	38.5	23	54	3	1	2	1	420910	420928	420951	420964
2	15	386774.75	2	263.5	0	0	1	4	0	1	386549	386737	386737	387076
2	15	626113.5	1	1339.0	0	2678	1	1	0	1	625057	625831	625831	627735
2	15	626113.5	10	1339.0	0	2678	1	1	0	1	625057	625831	625831	627735
2	16	235651.0	0	1982.0	1198	2766	9	3	4	1	234213	235107	236305	236979
2	16	349043.0	0	1032.0	0	2064	1	3	3	1	348078	348976	348976	350142
2	16	453874.25	0	4164.5	2429	5900	12	1	1	1	450526	453058	455487	456426
2	16	648085.0	2	469.0	0	0	1	4	0	1	647508	648193	648193	648446
3	1	182103.0	2	3802.0	0	0	1	0	0	1	178392	182012	182012	185996
3	1	13546.0	1	851.0	308	1394	7	0	0	1	12729	13512	13820	14123
3	1	13217.75	6	5228.5	3996	6461	21	1	3	1	9696	11511	15507	16157
3	1	13546.0	8	851.0	308	1394	7	0	0	1	12729	13512	13820	14123
3	2	1108124.5	0	2076.0	332	3820	6	1	3	1	1106696	1107477	1107809	1110516
3	2	822213.0	1	10206.0	0	20412	1	1	0	1	813229	820991	820991	833641
3	2	1002958.5	1	728.0	39	1417	2	3	0	1	1002326	1002863	1002902	1003743
3	2	822213.0	10	10206.0	0	20412	1	1	0	1	813229	820991	820991	833641
3	2	1002958.5	10	728.0	39	1417	2	3	0	1	1002326	1002863	1002902	1003743
3	3	61064.75	0	326.5	0	653	1	3	1	1	60600	61203	61203	61253
3	3	127572.0	0	5855.0	193	11517	3	1	3	1	124592	124697	124890	136109
3	3	260466.0	2	93.0	0	0	2	0	0	1	260349	260490	260494	260531
3	4	220770.5	0	1770.0	414	3126	2	3	1	1	219498	220273	220687	222624
3	4	868660.75	0	83.5	0	167	1	1	1	1	868551	868687	868687	868718
3	4	91.0	4	182.0	0	0	2	0	0	1	148	159	159	205
3	4	797015.75	1	2065.5	390	3741	2	3	0	1	794796	797170	797560	798537
3	4	797015.75	10	2065.5	390	3741	2	3	0	1	794796	797170	797560	798537
3	5	40758.0	0	13917.0	3334	24500	24	1	1	1	23243	44356	47690	47743
3	5	62105.75	1	1761.5	247	3276	3	3	0	1	60511	61939	62186	63787
3	5	62105.75	10	1761.5	247	3276	3	3	0	1	60511	61939	62186	63787
3	6	51700.25	0	299.5	25	574	2	3	2	1	51515	51586	51611	52089
3	6	234380.0	0	1075.0	0	2150	1	3	1	1	233614	234071	234071	235764
3	6	256866.75	0	1367.5	0	2735	1	3	4	1	255367	256999	256999	258102
3	6	64562.5	2	105.0	0	0	1	0	0	1	64509	64511	64511	64719
3	6	199218.25	2	7991.5	0	0	6	4	0	1	193947	196498	197209	209219
3	7	95438.0	0	1247.0	0	2494	1	3	3	1	94468	95161	95161	96962
3	7	895376.25	0	1312.5	374	2251	4	3	1	1	894539	894901	895275	896790
3	7	1012383.5	0	702.0	0	1404	1	3	3	1	1011853	1012212	1012212	1013257
3	7	440438.75	2	1218.5	0	0	3	0	0	1	438732	440927	440957	441139
3	7	678157.25	2	638.5	0	0	1	0	0	1	677473	678203	678203	678750
3	7	703977.5	1	2208.0	1765	2651	4	3	0	1	702649	703098	704863	705300
3	7	647018.0	1	4196.0	2111	6281	6	1	0	1	644196	645644	647755	650477
3	7	807013.25	1	2663.5	800	4527	5	3	0	1	804380	806983	807783	808907
3	7	703977.5	10	2208.0	1765	2651	4	3	0	1	702649	703098	704863	705300
3	7	647018.0	10	4196.0	2111	6281	6	1	0	1	644196	645644	647755	650477
3	7	807013.25	10	2663.5	800	4527	5	3	0	1	804380	806983	807783	808907
3	8	543548.5	7	651.0	0	1302	1	3	1	1	543129	543317	543317	544431
3	8	519001.5	2	6.0	0	0	1	4	0	1	518997	519000	519000	519009
3	8	675866.25	2	352.5	0	0	1	0	0	1	675465	675915	675915	676170
3	9	233171.25	0	63.5	12	115	2	1	4	1	233094	233185	233197	233209
3	9	257010.5	0	134.0	0	268	1	3	2	1	256885	257002	257002	257153
3	9	259620.25	0	126.5	0	253	1	3	2	1	259482	259632	259632	259735
3	9	406238.25	0	1341.5	153	2530	2	1	3	1	405171	405964	406117	407701
3	9	189777.75	2	3.5	0	0	1	4	0	1	189775	189777	189777	189782
3	9	189791.25	2	2.5	0	0	1	4	0	1	189789	189791	189791	189794
3	9	189796.5	2	2.0	0	0	2	4	0	1	189795	189796	189797	189798
3	9	232245.0	2	64.0	0	0	1	4	0	1	232165	232261	232261	232293
3	10	165151.0	0	705.0	0	1410	1	1	1	1	164512	165085	165085	165922
3	10	290881.75	0	48.5	0	97	1	1	3	1	290811	290904	290904	290908
3	10	686404.0	0	1057.0	379	1735	6	1	2	1	685429	686322	686701	687164
3	10	689646.5	0	281.0	0	562	1	1	2	1	689392	689620	689620	689954
3	10	204463.0	1	1474.0	659	2289	18	1	0	1	203076	204376	205035	205365
3	10	204463.0	10	1474.0	659	2289	18	1	0	1	203076	204376	205035	205365
3	11	367825.75	1	6718.5	6022	7415	14	1	0	1	364012	364921	370943	371427
3	11	367825.75	10	6718.5	6022	7415	14	1	0	1	364012	364921	370943	371427
3	12	187850.25	0	28607.5	407	56808	4	3	2	1	145781	201312	201719	202589
3	13	11544.0	0	9.0	0	18	1	3	1	1	11535	11544	11544	11553
3	13	70898.0	2	19.0	0	0	1	0	0	1	70888	70889	70889	70926
3	13	90327.25	2	161.5	0	0	1	0	0	1	90242	90251	90251	90565
3	13	19712.75	1	2652.5	465	4840	2	1	0	1	17014	19759	20224	21854
3	13	796827.75	1	1264.5	576	1953	5	3	0	1	796102	796289	796865	798055
3	13	19712.75	10	2652.5	465	4840	2	1	0	1	17014	19759	20224	21854
3	13	796827.75	10	1264.5	576	1953	5	3	0	1	796102	796289	796865	798055
3	14	278640.0	0	137.0	0	274	1	3	2	1	278498	278645	278645	278772
3	14	480359.25	0	39.5	1	78	2	3	2	1	480310	480369	480370	480388
3	14	516904.5	0	34.0	0	68	1	3	1	1	516879	516896	516896	516947
3	14	561193.0	0	2.0	0	4	1	1	3	1	561191	561193	561193	561195
3	14	580902.25	0	132.5	0	265	1	1	3	1	580711	580961	580961	580976
3	14	582020.75	0	75.5	6	145	2	3	2	1	581982	581984	581990	582127
3	14	732905.25	0	126.5	100	153	4	1	2	1	732825	732859	732959	732978
3	14	249852.0	2	575.0	0	0	1	0	0	1	249127	250002	250002	250277
3	14	289120.75	2	208.5	0	0	1	0	0	1	288957	289076	289076	289374
3	14	297841.25	2	2.5	0	0	1	0	0	1	297839	297841	297841	297844
3	14	305437.75	2	203.5	0	0	1	0	0	1	305248	305424	305424	305655
3	14	315288.75	2	88.5	0	0	1	0	0	1	315186	315303	315303	315363
3	14	322874.25	2	49.5	0	0	1	0	0	1	322813	322886	322886	322912
3	14	386434.75	2	212.5	0	0	1	0	0	1	386305	386352	386352	386730
3	14	468394.0	2	81.0	0	0	1	0	0	1	468308	468399	468399	468470
3	14	498356.25	2	122.5	0	0	1	0	0	1	498257	498333	498333	498502
3	14	500343.5	2	4.0	0	0	1	0	0	1	500340	500343	500343	500348
3	14	514062.0	2	62.0	0	0	1	0	0	1	514030	514032	514032	514154
3	14	561214.25	2	7.5	0	0	1	0	0	1	561210	561211	561211	561225
3	14	584150.0	2	161.0	0	0	1	0	0	1	584014	584125	584125	584336
3	14	585724.75	2	198.5	0	0	1	0	0	1	585479	585772	585772	585876
3	14	625203.75	2	822.5	0	0	1	4	0	1	624530	625055	625055	626175
3	14	197562.5	1	7680.0	7668	7692	433	1	0	1	193718	193727	201395	201410
3	14	112745.75	1	1713.5	1313	2114	9	1	0	1	111740	112038	113351	113854
3	14	691658.75	1	4800.5	1067	8534	4	3	0	1	689123	689394	690461	697657
3	14	197562.5	10	7680.0	7668	7692	433	1	0	1	193718	193727	201395	201410
3	14	112745.75	10	1713.5	1313	2114	9	1	0	1	111740	112038	113351	113854
3	14	691658.75	10	4800.5	1067	8534	4	3	0	1	689123	689394	690461	697657
3	15	380096.0	0	3.0	0	6	1	3	3	1	380094	380095	380095	380100
3	15	391483.75	0	5.5	0	11	1	3	4	1	391480	391482	391482	391491
3	15	382764.5	2	366.0	0	0	1	4	0	1	382459	382704	382704	383191
3	15	386774.75	2	263.5	0	0	1	4	0	1	386549	386737	386737	387076
3	15	420891.0	2	14.0	0	0	1	0	0	1	420882	420886	420886	420910
3	15	86962.25	1	1069.5	0	2139	1	1	0	1	86231	86624	86624	88370
3	15	659692.0	1	2396.0	0	4792	1	3	0	1	656648	660340	660340	661440
3	15	86962.25	10	1069.5	0	2139	1	1	0	1	86231	86624	86624	88370
3	15	659692.0	10	2396.0	0	4792	1	3	0	1	656648	660340	660340	661440
3	16	383030.75	5	5204.5	4706	5703	37	split	"[3, 4]"	2	380273	380584	385290	385976
3	16	648085.0	2	469.0	0	0	1	4	0	1	647508	648193	648193	648446
3	16	345311.25	1	3961.5	945	6978	5	3	0	1	340666	345995	346940	347644
3	16	882447.0	1	889.0	0	1778	1	1	0	1	881358	882647	882647	883136
3	16	465163.0	1	7716.0	2775	12657	9	1	0	1	456570	466040	468815	469227
3	16	345311.25	10	3961.5	945	6978	5	3	0	1	340666	345995	346940	347644
3	16	882447.0	10	889.0	0	1778	1	1	0	1	881358	882647	882647	883136
3	16	465163.0	10	7716.0	2775	12657	9	1	0	1	456570	466040	468815	469227
4	1	170730.5	1	2319.0	896	3742	6	3	0	1	168288	170854	171750	172030
4	1	170730.5	10	2319.0	896	3742	6	3	0	1	168288	170854	171750	172030
4	2	136081.5	7	3172.0	2997	3347	11	3	1	1	134383	134608	137605	137730
4	2	197130.25	0	20443.5	0	40887	1	1	3	1	186508	187309	187309	227395
4	2	134014.0	1	478.0	406	550	3	3	0	1	133740	133810	134216	134290
4	2	134014.0	9	478.0	406	550	3	3	0	1	133740	133810	134216	134290
4	3	61064.75	0	326.5	0	653	1	3	1	1	60600	61203	61203	61253
4	3	260455.75	0	72.5	0	145	1	1	0	1	260349	260490	260490	260494
4	3	260502.25	2	20.5	0	0	1	0	0	1	260490	260494	260494	260531
4	3	248483.25	1	3152.5	1166	5139	11	1	0	1	245281	248533	249699	250420
4	3	138801.0	1	16603.0	0	33206	1	1	0	1	124890	136109	136109	158096
4	3	248483.25	10	3152.5	1166	5139	11	1	0	1	245281	248533	249699	250420
4	3	138801.0	10	16603.0	0	33206	1	1	0	1	124890	136109	136109	158096
4	4	134735.0	0	33.0	0	66	1	1	4	1	134696	134741	134741	134762
4	4	290747.0	0	6889.0	3343	10435	8	3	1	1	284220	290385	293728	294655
4	4	837684.25	0	2548.5	1823	3274	5	3	1	1	835862	836958	838781	839136
