tetrad#	chr#	pos(bp)	co_type	chromatids	GCasso_tract_len	GCasso_marker#	#GCasso	snp_start_out	snp_start_in	snp_end_in	snp_end_out
1	11	559945.25	1	[1, 4]	11855.5	1	1	542329	565706	565706	566040
1	12	202742.0	1	[2, 4]	1176.0	1	1	201719	202589	202589	204071
1	13	136112.0	0	[3, 4]	0	0	0	103864	168360	103864	168360
1	13	747724.0	0	[1, 3]	0	0	0	742476	752972	742476	752972
1	13	182639.5	0	[1, 3]	0	0	0	170184	195095	170184	195095
1	14	62868.0	1	[2, 4]	1457.0	4	1	61615	62664	63397	63796
1	14	682489.5	0	[2, 4]	0	0	0	681905	683074	681905	683074
1	15	81134.0	0	[3, 4]	0	0	0	79952	82316	79952	82316
1	15	285319.75	1	[2, 4]	392.5	1	1	284801	285446	285446	285586
1	16	26576.5	0	[2, 3]	0	0	0	22336	30817	22336	30817
1	16	839294.0	0	[2, 4]	0	0	0	837846	840742	837846	840742
1	16	40533.0	0	[3, 4]	0	0	0	31079	49987	31079	49987
1	16	490834.5	0	[2, 3]	0	0	0	471074	510595	471074	510595
1	16	182993.0	0	[3, 4]	0	0	0	141202	224784	141202	224784
2	1	170334.0	1	[1, 2]	1526.0	2	1	170884	171310	168288	170854
2	1	8639.5	1	[2, 4]	1192.0	6	1	7875	8212	9030	9441
2	2	772840.0	0	[2, 4]	0	0	0	732451	813229	732451	813229
2	2	995438.0	0	[3, 4]	0	0	0	993065	997811	993065	997811
2	2	65476.5	0	[2, 4]	0	0	0	44979	85974	44979	85974
2	2	339589.5	0	[2, 4]	0	0	0	317586	361593	317586	361593
2	2	1177387.5	0	[1, 2]	0	0	0	1121925	1232850	1121925	1232850
2	2	1268212.0	0	[1, 2]	0	0	0	1265288	1271136	1265288	1271136
2	3	220015.0	0	[1, 2]	0	0	0	216347	223683	216347	223683
2	3	168920.5	0	[3, 4]	0	0	0	158096	179745	158096	179745
2	3	273493.5	0	[3, 4]	0	0	0	263055	283932	263055	283932
2	3	48998.75	1	[1, 2]	391.5	2	1	49031	49358	48758	48848
2	4	479394.5	0	[1, 3]	0	0	0	418704	540085	418704	540085
2	4	124941.75	1	[1, 2]	2612.5	11	1	125967	126529	123310	123961
2	4	32377.5	0	[1, 2]	0	0	0	24844	39911	24844	39911
2	4	812465.0	1	[2, 4]	2262.0	5	1	810986	811682	813543	813649
2	5	275546.0	0	[2, 4]	0	0	0	257527	293565	257527	293565
2	5	145400.5	0	[1, 3]	0	0	0	144275	146526	144275	146526
2	5	455656.0	0	[1, 3]	0	0	0	445456	465856	445456	465856
2	5	58081.5	0	[3, 4]	0	0	0	57792	58371	57792	58371
2	6	481063.25	1	[1, 3]	2375.5	2	1	481126	483376	479385	480366
2	6	150976.0	0	[1, 3]	0	0	0	150243	151709	150243	151709
2	6	256183.0	0	[2, 3]	0	0	0	255367	256999	255367	256999
2	6	354152.0	1	[3, 4]	442.0	1	1	354019	354727	353843	354019
2	7	28115.0	0	[1, 2]	0	0	0	17205	39025	17205	39025
2	7	384460.0	0	[2, 4]	0	0	0	375641	393279	375641	393279
2	7	448483.5	0	[1, 3]	0	0	0	442838	454129	442838	454129
2	7	813056.5	0	[1, 2]	0	0	0	812750	813363	812750	813363
2	8	265197.0	0	[2, 3]	0	0	0	252158	278236	252158	278236
2	8	133120.0	0	[1, 2]	0	0	0	118236	148004	118236	148004
2	8	655374.0	0	[2, 4]	0	0	0	638970	671778	638970	671778
2	8	451549.5	8	[1, 3]	2285.0	5	1	450142	450672	452392	452992
2	9	379179.0	1	[1, 3]	3451.0	34	1	376746	378161	380803	381006
2	9	57044.0	0	[2, 4]	0	0	0	37580	76508	37580	76508
2	10	82425.25	1	[2, 4]	1963.5	6	1	81035	81852	83139	83675
2	10	866803.0	0	[1, 4]	0	0	0	865712	867894	865712	867894
2	10	456550.0	2	[2, 4]	28233.0	0	0	430442	482658	430442	482658
2	10	629729.0	0	[2, 3]	0	0	0	604722	654736	604722	654736
2	11	154434.75	1	[2, 3]	9116.5	1	1	142031	157722	157722	160264
2	11	570212.5	0	[2, 3]	0	0	0	566948	573477	566948	573477
2	11	467843.0	0	[3, 4]	0	0	0	435879	499807	435879	499807
2	11	313756.75	1	[2, 4]	3087.5	10	1	311931	312495	312725	317876
2	11	136243.0	1	[3, 4]	1948.0	3	1	136960	137474	134363	136175
2	12	24192.5	0	[1, 3]	0	0	0	8033	40352	8033	40352
2	12	173546.5	0	[1, 2]	0	0	0	145781	201312	145781	201312
2	12	263363.5	1	[1, 2]	3623.0	15	1	261066	262038	264141	266209
2	13	364705.5	0	[1, 2]	0	0	0	331735	397676	331735	397676
2	13	836612.0	0	[2, 3]	0	0	0	835556	837668	835556	837668
2	13	704721.0	0	[1, 4]	0	0	0	668196	741246	668196	741246
2	14	32779.5	0	[3, 4]	0	0	0	32238	33321	32238	33321
2	14	635160.0	1	[1, 3]	2281.0	8	1	633710	634329	636182	636419
2	15	342520.0	0	[1, 2]	0	0	0	342372	342668	342372	342668
2	15	626113.5	1	[1, 2]	1339.0	1	1	625831	627735	625057	625831
2	15	135351.5	0	[1, 2]	0	0	0	134523	136180	134523	136180
2	15	40559.5	0	[3, 4]	0	0	0	18940	62179	18940	62179
2	16	787193.5	0	[3, 4]	0	0	0	760033	814354	760033	814354
2	16	573105.5	0	[3, 4]	0	0	0	566994	579217	566994	579217
2	16	26576.5	0	[1, 4]	0	0	0	22336	30817	22336	30817
2	16	875522.5	0	[1, 3]	0	0	0	874815	876230	874815	876230
2	16	270545.5	0	[2, 4]	0	0	0	268715	272376	268715	272376
3	1	106155.5	0	[1, 4]	0	0	0	105582	106729	105582	106729
3	1	13546.0	3	[1, 2]	851.0	7	1	13820	14123	12729	13512
3	1	159063.5	0	[2, 4]	0	0	0	157129	160998	157129	160998
3	2	566198.0	0	[3, 4]	0	0	0	565444	566952	565444	566952
3	2	822213.0	1	[2, 3]	10206.0	1	1	813229	820991	820991	833641
3	2	65476.5	0	[2, 3]	0	0	0	44979	85974	44979	85974
3	2	1002958.5	1	[2, 4]	728.0	2	1	1002902	1003743	1002326	1002863
3	2	841718.0	0	[2, 4]	0	0	0	833641	849795	833641	849795
3	2	339589.5	0	[2, 4]	0	0	0	317586	361593	317586	361593
3	2	1268212.0	0	[2, 4]	0	0	0	1265288	1271136	1265288	1271136
3	3	220015.0	0	[2, 3]	0	0	0	216347	223683	216347	223683
3	4	797015.75	1	[2, 4]	2065.5	2	1	797560	798537	794796	797170
3	4	631511.0	0	[2, 4]	0	0	0	588239	674783	588239	674783
3	4	479394.5	0	[2, 4]	0	0	0	418704	540085	418704	540085
3	4	361983.5	0	[1, 3]	0	0	0	348076	375891	348076	375891
3	5	442670.0	0	[1, 4]	0	0	0	442419	442921	442419	442921
3	5	62105.75	1	[1, 3]	1761.5	3	1	62186	63787	60511	61939
3	6	68737.5	0	[1, 4]	0	0	0	67728	69747	67728	69747
3	6	173061.0	0	[2, 4]	0	0	0	153304	192818	153304	192818
3	6	369318.5	0	[2, 4]	0	0	0	367987	370650	367987	370650
3	7	384460.0	0	[2, 3]	0	0	0	375641	393279	375641	393279
3	7	839940.5	0	[1, 2]	0	0	0	815725	864156	815725	864156
3	7	220494.0	0	[1, 3]	0	0	0	218906	222082	218906	222082
3	7	703977.5	1	[1, 3]	2208.0	4	1	704863	705300	702649	703098
3	7	647018.0	1	[2, 4]	4196.0	6	1	644196	645644	647755	650477
3	7	246207.0	0	[1, 4]	0	0	0	222178	270236	222178	270236
3	7	807013.25	1	[1, 3]	2663.5	5	1	804380	806983	807783	808907
3	8	133120.0	0	[1, 3]	0	0	0	118236	148004	118236	148004
3	8	519787.0	0	[1, 3]	0	0	0	519056	520518	519056	520518
3	8	685619.0	0	[1, 4]	0	0	0	684756	686482	684756	686482
3	8	393248.5	0	[1, 3]	0	0	0	370029	416468	370029	416468
3	8	541188.0	0	[1, 2]	0	0	0	540865	541511	540865	541511
3	9	370828.0	0	[1, 4]	0	0	0	369776	371880	369776	371880
3	9	57044.0	0	[1, 4]	0	0	0	37580	76508	37580	76508
3	10	204463.0	1	[1, 3]	1474.0	18	1	203076	204376	205035	205365
3	10	785983.0	0	[1, 2]	0	0	0	785188	786778	785188	786778
3	10	456550.0	0	[2, 4]	0	0	0	430442	482658	430442	482658
3	10	629729.0	0	[2, 4]	0	0	0	604722	654736	604722	654736
3	10	112519.0	0	[1, 3]	0	0	0	102094	122944	102094	122944
3	11	149876.5	0	[1, 2]	0	0	0	142031	157722	142031	157722
3	11	225299.0	0	[2, 3]	0	0	0	217474	233124	217474	233124
3	11	554017.5	0	[3, 4]	0	0	0	542329	565706	542329	565706
3	11	367825.75	1	[2, 4]	6718.5	14	1	370943	371427	364012	364921
3	11	358404.0	0	[2, 4]	0	0	0	353236	363572	353236	363572
3	11	515543.0	0	[2, 3]	0	0	0	511039	520047	511039	520047
3	12	24192.5	0	[2, 4]	0	0	0	8033	40352	8033	40352
3	13	364705.5	0	[1, 4]	0	0	0	331735	397676	331735	397676
3	13	19712.75	1	[2, 3]	2652.5	2	1	20224	21854	17014	19759
3	13	458314.5	0	[3, 4]	0	0	0	425180	491449	425180	491449
3	13	796827.75	1	[1, 2]	1264.5	5	1	796865	798055	796102	796289
3	13	655806.5	0	[3, 4]	0	0	0	643417	668196	643417	668196
3	13	205454.0	0	[2, 3]	0	0	0	195095	215813	195095	215813
3	14	197562.5	1	[2, 4]	7680.0	433	1	193718	193727	201395	201410
3	14	647627.5	0	[2, 3]	0	0	0	646967	648288	646967	648288
3	14	675591.0	0	[2, 3]	0	0	0	673566	677616	673566	677616
3	14	112745.75	1	[3, 4]	1713.5	9	1	113351	113854	111740	112038
3	14	691658.75	1	[2, 4]	4800.5	4	1	689123	689394	690461	697657
3	15	451263.0	0	[1, 3]	0	0	0	435311	467215	435311	467215
3	15	163216.5	0	[1, 3]	0	0	0	136222	190211	136222	190211
3	15	86962.25	1	[1, 4]	1069.5	1	1	86624	88370	86231	86624
3	15	659692.0	1	[3, 4]	2396.0	1	1	660340	661440	656648	660340
3	15	196489.5	0	[1, 3]	0	0	0	195460	197519	195460	197519
3	16	345311.25	1	[1, 3]	3961.5	5	1	346940	347644	340666	345995
3	16	882447.0	1	[1, 4]	889.0	1	1	882647	883136	881358	882647
3	16	89256.5	0	[2, 4]	0	0	0	83089	95424	83089	95424
3	16	829115.0	0	[1, 2]	0	0	0	828941	829289	828941	829289
3	16	465163.0	1	[1, 2]	7716.0	9	1	468815	469227	456570	466040
3	16	290492.0	0	[2, 4]	0	0	0	290161	290823	290161	290823
3	16	490834.5	0	[1, 4]	0	0	0	471074	510595	471074	510595
3	16	787193.5	0	[1, 3]	0	0	0	760033	814354	760033	814354
3	16	26576.5	0	[2, 4]	0	0	0	22336	30817	22336	30817
4	1	170730.5	1	[1, 3]	2319.0	6	1	168288	170854	171750	172030
4	2	772840.0	5	[2, 1]	0	0	0	732451	813229	732451	813229
4	2	772840.0	5	[4, 3]	0	0	0	732451	813229	732451	813229
4	2	1177387.5	0	[1, 4]	0	0	0	1121925	1232850	1121925	1232850
4	2	65476.5	0	[1, 2]	0	0	0	44979	85974	44979	85974
4	2	339589.5	0	[2, 3]	0	0	0	317586	361593	317586	361593
4	2	1268212.0	0	[1, 4]	0	0	0	1265288	1271136	1265288	1271136
4	2	134014.0	1	[1, 4]	478.0	3	1	134216	134290	133740	133810
4	3	248483.25	1	[1, 3]	3152.5	11	1	245281	248533	249699	250420
4	3	138801.0	1	[1, 3]	16603.0	1	1	136109	158096	124890	136109
4	4	747855.5	0	[3, 4]	0	0	0	740610	755101	740610	755101
4	4	855271.25	1	[1, 3]	8566.5	5	1	853456	865653	848853	853123
4	4	32377.5	0	[1, 4]	0	0	0	24844	39911	24844	39911
4	4	631511.0	0	[2, 3]	0	0	0	588239	674783	588239	674783
4	4	577536.5	0	[2, 4]	0	0	0	577032	578041	577032	578041
4	4	782568.5	1	[2, 4]	8518.0	17	1	772632	783987	786184	787471
4	4	479394.5	2	[2, 4]	62302.0	0	0	418704	540085	418704	540085
4	5	59333.0	0	[1, 4]	0	0	0	58845	59821	58845	59821
4	5	326839.0	0	[2, 3]	0	0	0	310053	343625	310053	343625
4	5	444827.0	0	[3, 4]	0	0	0	444198	445456	444198	445456
4	6	173061.0	5	[3, 2]	0	0	0	153304	192818	153304	192818
4	6	173061.0	5	[4, 1]	0	0	0	153304	192818	153304	192818
4	7	375279.0	1	[3, 4]	438.0	1	1	375355	375641	374765	375355
4	7	839940.5	0	[1, 2]	0	0	0	815725	864156	815725	864156
4	7	28115.0	0	[1, 4]	0	0	0	17205	39025	17205	39025
4	7	738204.5	0	[1, 4]	0	0	0	737584	738825	737584	738825
4	7	1006736.5	0	[2, 4]	0	0	0	1005954	1007519	1005954	1007519
4	7	246207.0	0	[1, 2]	0	0	0	222178	270236	222178	270236
4	7	460000.0	0	[1, 4]	0	0	0	459571	460429	459571	460429
4	8	133120.0	0	[1, 4]	0	0	0	118236	148004	118236	148004
4	8	498658.5	1	[3, 4]	1519.0	4	1	499307	499529	496866	498932
4	8	712449.0	0	[3, 4]	0	0	0	710798	714100	710798	714100
4	9	145534.0	1	[3, 4]	1604.0	3	1	146125	146547	144021	145443
4	9	408334.5	0	[1, 3]	0	0	0	407705	408964	407705	408964
4	9	307276.0	0	[1, 4]	0	0	0	299218	315334	299218	315334
4	10	188504.0	0	[2, 4]	0	0	0	188036	188972	188036	188972
4	10	954411.0	0	[1, 4]	0	0	0	945381	963441	945381	963441
4	10	456550.0	0	[1, 2]	0	0	0	430442	482658	430442	482658
4	10	629729.0	0	[1, 4]	0	0	0	604722	654736	604722	654736
4	10	112519.0	0	[1, 4]	0	0	0	102094	122944	102094	122944
4	11	512492.75	1	[2, 3]	6100.5	6	1	508911	509974	511039	520047
4	11	249500.5	1	[1, 3]	5542.0	27	1	246578	246881	252098	252445
4	11	408879.5	0	[1, 3]	0	0	0	381880	435879	381880	435879
4	11	43263.0	0	[1, 3]	0	0	0	36946	49580	36946	49580
4	12	79915.0	1	[1, 3]	6567.0	1	1	76455	76808	76808	89589
4	13	458314.5	0	[1, 4]	0	0	0	425180	491449	425180	491449
4	13	522453.0	0	[1, 4]	0	0	0	522136	522770	522136	522770
4	13	205454.0	0	[1, 3]	0	0	0	195095	215813	195095	215813
4	13	869040.0	0	[2, 3]	0	0	0	865941	872139	865941	872139
4	14	639348.5	0	[1, 4]	0	0	0	638309	640388	638309	640388
4	14	101149.25	1	[1, 4]	14652.5	12	1	108048	108903	85509	102137
4	15	205264.25	4	[1, 3]	3564.5	9	0	202455	204509	207783	208680
4	15	629444.5	0	[1, 2]	0	0	0	628113	630776	628113	630776
4	15	357667.5	0	[1, 4]	0	0	0	349233	366102	349233	366102
4	15	662786.25	1	[1, 3]	1223.5	1	1	662343	664453	662006	662343
4	15	40559.5	0	[2, 4]	0	0	0	18940	62179	18940	62179
4	16	845204.5	0	[2, 4]	0	0	0	844853	845556	844853	845556
4	16	26576.5	0	[3, 4]	0	0	0	22336	30817	22336	30817
4	16	138646.0	0	[1, 2]	0	0	0	136090	141202	136090	141202
4	16	490834.5	0	[2, 4]	0	0	0	471074	510595	471074	510595
4	16	706839.0	1	[1, 3]	3083.0	2	1	707295	709466	703467	707128
4	16	204457.0	1	[1, 2]	42928.0	3	1	225183	226659	141202	224784
5	1	51545.0	0	[2, 3]	0	0	0	39521	63569	39521	63569
5	1	159063.5	0	[1, 3]	0	0	0	157129	160998	157129	160998
5	2	413663.0	0	[1, 4]	0	0	0	412986	414340	412986	414340
5	2	1248285.5	0	[1, 4]	0	0	0	1232850	1263721	1232850	1263721
5	2	629475.75	1	[2, 4]	5459.5	14	1	631976	632435	626143	627349
5	2	991696.5	0	[1, 4]	0	0	0	991417	991976	991417	991976
5	2	184503.5	0	[2, 4]	0	0	0	183212	185795	183212	185795
5	2	584692.0	0	[3, 4]	0	0	0	583440	585944	583440	585944
5	3	273493.5	0	[2, 4]	0	0	0	263055	283932	263055	283932
5	3	118187.0	0	[2, 4]	0	0	0	117631	118743	117631	118743
5	4	346160.5	0	[1, 3]	0	0	0	344245	348076	344245	348076
5	4	631511.0	0	[2, 4]	0	0	0	588239	674783	588239	674783
5	4	813253.5	0	[2, 4]	0	0	0	812979	813528	812979	813528
5	4	70237.25	1	[2, 4]	4398.5	20	1	71924	72949	67828	68248
5	5	7575.0	0	[1, 2]	0	0	0	7240	7910	7240	7910
5	5	470273.0	0	[2, 4]	0	0	0	469471	471075	469471	471075
5	5	406702.5	0	[3, 4]	0	0	0	380025	433380	380025	433380
5	5	109158.0	0	[2, 3]	0	0	0	108864	109452	108864	109452
5	5	198952.0	0	[1, 3]	0	0	0	169099	228805	169099	228805
5	5	302260.5	0	[3, 4]	0	0	0	297706	306815	297706	306815
5	6	149332.0	0	[1, 3]	0	0	0	149090	149574	149090	149574
5	6	78173.75	3	[2, 4]	8748.5	13	1	69747	77852	82479	82617
5	6	250767.0	0	[1, 3]	0	0	0	250392	251142	250392	251142
5	7	621727.5	1	[1, 3]	2079.0	7	1	619969	621407	622740	622794
5	7	970214.5	0	[3, 4]	0	0	0	969469	970960	969469	970960
5	7	28115.0	0	[1, 4]	0	0	0	17205	39025	17205	39025
5	7	373641.0	0	[1, 3]	0	0	0	373227	374055	373227	374055
5	7	769122.5	0	[1, 3]	0	0	0	754736	783509	754736	783509
5	7	138606.0	0	[1, 3]	0	0	0	127409	149803	127409	149803
5	7	520066.5	0	[1, 3]	0	0	0	519677	520456	519677	520456
5	8	287204.25	1	[1, 2]	2032.5	5	1	285840	286536	287426	289015
5	8	133120.0	0	[2, 4]	0	0	0	118236	148004	118236	148004
5	8	762724.0	0	[2, 3]	0	0	0	748695	776753	748695	776753
5	8	496699.5	1	[1, 4]	2399.0	6	1	495057	495943	496866	498932
5	8	583852.0	0	[2, 3]	0	0	0	582935	584769	582935	584769
5	9	380753.75	1	[2, 4]	1623.5	36	1	379804	380080	381530	381601
5	9	307276.0	0	[2, 4]	0	0	0	299218	315334	299218	315334
5	10	188504.0	0	[1, 4]	0	0	0	188036	188972	188036	188972
5	10	838698.75	1	[1, 4]	1579.5	2	1	837460	838358	838552	840425
5	10	965601.0	0	[1, 2]	0	0	0	964465	966737	964465	966737
5	10	456550.0	0	[2, 3]	0	0	0	430442	482658	430442	482658
5	10	678381.5	0	[2, 4]	0	0	0	677766	678997	677766	678997
5	10	488734.25	8	[1, 3]	5438.5	14	1	485635	486395	491078	491829
5	11	508457.0	0	[3, 4]	0	0	0	508003	508911	508003	508911
5	11	132570.75	1	[3, 4]	1677.5	2	1	132456	134363	131376	132088
5	11	467843.0	0	[2, 3]	0	0	0	435879	499807	435879	499807
5	11	408879.5	0	[2, 3]	0	0	0	381880	435879	381880	435879
5	12	24192.5	0	[1, 2]	0	0	0	8033	40352	8033	40352
5	12	173546.5	0	[1, 3]	0	0	0	145781	201312	145781	201312
5	12	249772.0	0	[1, 3]	0	0	0	249352	250192	249352	250192
5	12	74934.5	1	[2, 4]	567.0	1	1	74361	74941	74941	75495
5	13	876241.5	0	[2, 3]	0	0	0	872139	880344	872139	880344
5	13	458314.5	0	[1, 3]	0	0	0	425180	491449	425180	491449
5	13	704721.0	0	[1, 2]	0	0	0	668196	741246	668196	741246
5	13	169066.25	1	[1, 3]	372.5	3	1	168981	169524	168806	168954
5	14	144355.25	1	[2, 3]	2336.5	4	1	143053	143321	145201	145846
5	14	694059.0	0	[2, 3]	0	0	0	690461	697657	690461	697657
5	15	581224.25	1	[1, 2]	702.5	1	1	580941	582210	580805	580941
5	15	451263.0	0	[1, 4]	0	0	0	435311	467215	435311	467215
5	15	703155.25	1	[3, 4]	2881.5	11	1	701676	701753	704220	704972
5	15	240658.5	1	[1, 4]	1230.0	3	1	239917	240170	240939	241608
5	15	40559.5	0	[1, 2]	0	0	0	18940	62179	18940	62179
5	16	26576.5	0	[3, 4]	0	0	0	22336	30817	22336	30817
5	16	636978.0	0	[1, 4]	0	0	0	631537	642419	631537	642419
5	16	283422.0	1	[2, 3]	575.0	1	1	282983	283286	283286	284133
5	16	66613.5	0	[1, 4]	0	0	0	51428	81799	51428	81799
5	16	708380.5	0	[1, 2]	0	0	0	707295	709466	707295	709466
5	16	518388.5	0	[1, 4]	0	0	0	510595	526182	510595	526182
6	1	51545.0	0	[1, 2]	0	0	0	39521	63569	39521	63569
6	1	159063.5	0	[1, 4]	0	0	0	157129	160998	157129	160998
6	1	107564.25	1	[2, 3]	2817.5	9	1	108493	109453	105582	106729
6	2	1006660.75	1	[2, 3]	1137.5	6	1	1007204	1007255	1005924	1006260
6	2	370310.0	1	[2, 4]	15051.0	2	1	364009	391662	361593	363976
6	2	207352.0	0	[2, 4]	0	0	0	187309	227395	187309	227395
6	2	571262.5	1	[3, 4]	4387.0	4	1	571702	575210	566952	571186
6	2	817110.0	0	[2, 3]	0	0	0	813229	820991	813229	820991
6	2	1177387.5	0	[2, 3]	0	0	0	1121925	1232850	1121925	1232850
6	2	1268212.0	0	[1, 4]	0	0	0	1265288	1271136	1265288	1271136
6	3	220015.0	5	[4, 2]	0	0	0	216347	223683	216347	223683
6	3	220015.0	5	[1, 3]	0	0	0	216347	223683	216347	223683
6	3	147102.5	0	[1, 3]	0	0	0	136109	158096	136109	158096
6	4	850988.0	0	[2, 3]	0	0	0	848853	853123	848853	853123
6	4	287302.5	0	[1, 3]	0	0	0	284220	290385	284220	290385
6	5	302260.5	0	[2, 4]	0	0	0	297706	306815	297706	306815
6	5	406702.5	0	[3, 4]	0	0	0	380025	433380	380025	433380
6	5	63061.5	0	[1, 3]	0	0	0	62186	63937	62186	63937
6	6	418158.0	0	[1, 4]	0	0	0	390766	445550	390766	445550
6	6	215159.0	0	[2, 3]	0	0	0	209219	221099	209219	221099
6	7	1023625.5	0	[3, 4]	0	0	0	1023262	1023989	1023262	1023989
6	7	839940.5	0	[1, 3]	0	0	0	815725	864156	815725	864156
6	7	733912.25	1	[1, 2]	690.5	10	1	733799	734716	733552	733582
6	7	439808.5	0	[2, 4]	0	0	0	438732	440885	438732	440885
6	7	705352.5	1	[1, 3]	2398.0	8	1	703446	704861	706177	706926
6	7	769122.5	0	[2, 3]	0	0	0	754736	783509	754736	783509
6	7	246207.0	0	[2, 3]	0	0	0	222178	270236	222178	270236
6	7	406394.5	1	[1, 2]	3270.0	5	1	403809	405710	407318	408741
6	8	200287.5	0	[1, 3]	0	0	0	199626	200949	199626	200949
6	8	566674.5	0	[2, 4]	0	0	0	566550	566799	566550	566799
6	8	762724.0	0	[1, 2]	0	0	0	748695	776753	748695	776753
6	8	426063.0	0	[1, 3]	0	0	0	416468	435658	416468	435658
6	9	57044.0	0	[1, 3]	0	0	0	37580	76508	37580	76508
6	10	531152.5	0	[3, 4]	0	0	0	530407	531898	530407	531898
6	10	583355.0	0	[1, 4]	0	0	0	582803	583907	582803	583907
6	10	186094.0	1	[2, 3]	2319.0	9	1	184858	185011	186934	187573
6	10	407034.25	1	[3, 4]	5960.5	402	1	404016	404092	409971	410058
6	11	169118.0	0	[2, 4]	0	0	0	168725	169511	168725	169511
6	11	66023.5	0	[1, 2]	0	0	0	49580	82467	49580	82467
6	11	515543.0	0	[2, 4]	0	0	0	511039	520047	511039	520047
6	11	554017.5	0	[2, 4]	0	0	0	542329	565706	542329	565706
6	12	346892.5	0	[1, 4]	0	0	0	346191	347594	346191	347594
6	12	265175.0	0	[2, 3]	0	0	0	264141	266209	264141	266209
6	12	44426.0	1	[1, 4]	473.0	1	1	43772	44607	44607	44718
6	12	58317.0	0	[2, 3]	0	0	0	44718	71916	44718	71916
6	13	286177.5	0	[1, 3]	0	0	0	271896	300459	271896	300459
6	13	615421.0	0	[2, 4]	0	0	0	587425	643417	587425	643417
6	13	704721.0	2	[1, 2]	36817.5	0	0	668196	741246	668196	741246
6	13	136112.0	0	[1, 4]	0	0	0	103864	168360	103864	168360
6	13	458314.5	0	[1, 3]	0	0	0	425180	491449	425180	491449
6	14	634464.25	1	[1, 4]	889.5	2	1	634398	635420	633710	634329
6	14	559098.5	0	[1, 3]	0	0	0	559051	559146	559051	559146
6	14	28996.5	0	[3, 4]	0	0	0	27973	30020	27973	30020
6	14	713403.75	1	[1, 2]	2355.5	2	1	713032	716131	711854	712598
6	15	260606.0	0	[2, 3]	0	0	0	260432	260780	260432	260780
6	15	733275.0	0	[1, 3]	0	0	0	710652	755898	710652	755898
